course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,tags
Algorithmic Toolbox,University of California San Diego,COURSE,4.7,Intermediate,220k,algorithmic toolbox university of california san diego course intermediate
Algorithms,Stanford University,SPECIALIZATION,4.8,Intermediate,150k,algorithms stanford university specialization intermediate
Algorithms for Battery Management Systems,University of Colorado System,SPECIALIZATION,4.8,Intermediate,14k,algorithms for battery management systems university of colorado system specialization intermediate
American Contract Law I,Yale University,COURSE,4.9,Beginner,18k,american contract law i yale university course beginner
An Introduction to American Law,University of Pennsylvania,COURSE,4.8,Beginner,23k,an introduction to american law university of pennsylvania course beginner
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,COURSE,4.7,Beginner,69k,an introduction to consumer neuroscience neuromarketing copenhagen business school course beginner
An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",SPECIALIZATION,4.6,Beginner,270k,an introduction to programming the internet of things iot university of california irvine specialization beginner
Analysing: Numeric and digital literacies,Macquarie University,SPECIALIZATION,4.6,Beginner,7.9k,analysing numeric and digital literacies macquarie university specialization beginner
Anatomy,University of Michigan,SPECIALIZATION,4.8,Beginner,30k,anatomy university of michigan specialization beginner
"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,COURSE,4.8,Intermediate,36k,anatomy of the chest abdomen and pelvis yale university course intermediate
Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,COURSE,4.8,Beginner,20k,anatomy musculoskeletal and integumentary systems university of michigan course beginner
Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,COURSE,4.8,Mixed,8.1k,ancient philosophy aristotle and his successors university of pennsylvania course mixed
Android App Development,Vanderbilt University,SPECIALIZATION,4.5,Beginner,120k,android app development vanderbilt university specialization beginner
Animal Behaviour and Welfare,The University of Edinburgh,COURSE,4.8,Mixed,71k,animal behaviour and welfare the university of edinburgh course mixed
Antibiotic Stewardship,Stanford University,COURSE,4.5,Advanced,11k,antibiotic stewardship stanford university course advanced
Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,11k,anticorrupción introducción a conceptos y perspectiva práctica universidad nacional autónoma de méxico course beginner
Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,63k,antimicrobial resistance theory and methods technical university of denmark dtu course intermediate
Applied Data Science,IBM,SPECIALIZATION,4.6,Beginner,220k,applied data science ibm specialization beginner
Applied Data Science Capstone,IBM,COURSE,4.7,Intermediate,42k,applied data science capstone ibm course intermediate
Applied Data Science with Python,University of Michigan,SPECIALIZATION,4.5,Intermediate,480k,applied data science with python university of michigan specialization intermediate
Applied Machine Learning in Python,University of Michigan,COURSE,4.6,Intermediate,150k,applied machine learning in python university of michigan course intermediate
"Applied Plotting, Charting & Data Representation in Python",University of Michigan,COURSE,4.6,Intermediate,97k,applied plotting charting data representation in python university of michigan course intermediate
Aprende a programar con Python,Universidad Austral,SPECIALIZATION,4.2,Beginner,6.6k,aprende a programar con python universidad austral specialization beginner
Aprender,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,200k,aprender universidad nacional autónoma de méxico course mixed
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,COURSE,4.9,Beginner,180k,aprendiendo a aprender poderosas herramientas mentales con las que podrás dominar temas difíciles learning how to learn university of california san diego course beginner
Architecting with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.5,Intermediate,4.2k,architecting with google cloud platform 日本語版 google cloud specialization intermediate
Architecting with Google Compute Engine,Google Cloud,SPECIALIZATION,4.7,Intermediate,310k,architecting with google compute engine google cloud specialization intermediate
Architecting with Google Kubernetes Engine 日本語版,Google Cloud,SPECIALIZATION,4.5,Beginner,3.9k,architecting with google kubernetes engine 日本語版 google cloud specialization beginner
Arizona State University TESOL,Arizona State University,PROFESSIONAL CERTIFICATE,4.9,Beginner,150k,arizona state university tesol arizona state university professional certificate beginner
Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,COURSE,4.8,Mixed,79k,art activity interactive strategies for engaging with art the museum of modern art course mixed
Art & Ideas: Teaching with Themes,The Museum of Modern Art,COURSE,4.8,Mixed,31k,art ideas teaching with themes the museum of modern art course mixed
Arts and Culture Strategy,National Arts Strategies,COURSE,4.6,Mixed,15k,arts and culture strategy national arts strategies course mixed
Arts and Heritage Management,Università Bocconi,COURSE,4.8,Mixed,15k,arts and heritage management università bocconi course mixed
Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,COURSE,4.9,Beginner,10k,aspectos básicos de la planificación y la gestión de proyectos university of virginia course beginner
Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,COURSE,4.7,Mixed,66k,astrobiology and the search for extraterrestrial life the university of edinburgh course mixed
Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,COURSE,4.8,Intermediate,33k,atención primaria en salud el desafío de las enfermedades no transmisibles pontificia universidad católica de chile course intermediate
Autism Spectrum Disorder,"University of California, Davis",COURSE,4.6,Mixed,56k,autism spectrum disorder university of california davis course mixed
Autodesk CAD/CAM for Manufacturing,Autodesk,SPECIALIZATION,4.8,Intermediate,7.3k,autodesk cad cam for manufacturing autodesk specialization intermediate
Autodesk CAD/CAM/CAE for Mechanical Engineering,Autodesk,SPECIALIZATION,4.8,Intermediate,9.2k,autodesk cad cam cae for mechanical engineering autodesk specialization intermediate
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,COURSE,4.7,Advanced,22k,autodesk certified professional autocad for design and drafting exam prep autodesk course advanced
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,COURSE,4.7,Advanced,9.7k,autodesk certified professional revit for architectural design exam prep autodesk course advanced
BIM Fundamentals for Engineers,National Taiwan University,COURSE,4.6,Beginner,13k,bim fundamentals for engineers national taiwan university course beginner
Basic Statistics,University of Amsterdam,COURSE,4.6,Beginner,180k,basic statistics university of amsterdam course beginner
Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",COURSE,4.8,Intermediate,91k,bayesian statistics from concept to data analysis university of california santa cruz course intermediate
Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",COURSE,4.8,Intermediate,29k,bayesian statistics techniques and models university of california santa cruz course intermediate
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,COURSE,4.9,Mixed,210k,become a cbrs certified professional installer by google google spectrum sharing course mixed
Become a Journalist: Report the News!,Michigan State University,SPECIALIZATION,4.7,Beginner,28k,become a journalist report the news michigan state university specialization beginner
Become a Sustainable Business Change Agent,University of Colorado System,SPECIALIZATION,4.7,Intermediate,4.2k,become a sustainable business change agent university of colorado system specialization intermediate
Becoming a Sports Agent,Case Western Reserve University,COURSE,4.7,Beginner,6.5k,becoming a sports agent case western reserve university course beginner
Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,COURSE,4.8,Beginner,61k,becoming a changemaker introduction to social innovation university of cape town course beginner
Behavioral Finance,Duke University,COURSE,4.4,Mixed,55k,behavioral finance duke university course mixed
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,COURSE,4.6,Mixed,2.3k,beyond the sustainable development goals sdgs addressing sustainability and development university of michigan course mixed
Big Data – Introducción al uso práctico de datos masivos,Universitat Autònoma de Barcelona,SPECIALIZATION,4.5,Beginner,8.8k,big data introducción al uso práctico de datos masivos universitat autònoma de barcelona specialization beginner
Biohacking Your Brain's Health,Emory University,COURSE,4.6,Beginner,35k,biohacking your brain s health emory university course beginner
Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,COURSE,4.4,Beginner,88k,biology meets programming bioinformatics for beginners university of california san diego course beginner
Biostatistics in Public Health,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,14k,biostatistics in public health johns hopkins university specialization beginner
Blended Language Learning: Design and Practice for Teachers,University of Colorado Boulder,COURSE,4.8,Intermediate,1.9k,blended language learning design and practice for teachers university of colorado boulder course intermediate
Blockchain,University at Buffalo,SPECIALIZATION,4.6,Intermediate,68k,blockchain university at buffalo specialization intermediate
Blockchain Revolution,INSEAD,SPECIALIZATION,4.7,Beginner,21k,blockchain revolution insead specialization beginner
Blockchain Revolution in Financial Services,INSEAD,SPECIALIZATION,4.6,Beginner,1.6k,blockchain revolution in financial services insead specialization beginner
Blockchain: Foundations and Use Cases,ConsenSys Academy,COURSE,4.7,Beginner,31k,blockchain foundations and use cases consensys academy course beginner
Boosting Creativity for Innovation,HEC Paris,COURSE,4.9,Beginner,9.5k,boosting creativity for innovation hec paris course beginner
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,COURSE,4.9,Beginner,57k,brand management aligning business brand and behaviour london business school course beginner
Branding: The Creative Journey,IE Business School,SPECIALIZATION,4.6,Beginner,26k,branding the creative journey ie business school specialization beginner
Budgeting and Scheduling Projects,"University of California, Irvine",COURSE,4.7,Mixed,84k,budgeting and scheduling projects university of california irvine course mixed
Bugs 101: Insect-Human Interactions,University of Alberta,COURSE,4.9,Beginner,15k,bugs 101 insect human interactions university of alberta course beginner
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,COURSE,4.9,Mixed,95k,build a modern computer from first principles from nand to tetris project centered course hebrew university of jerusalem course mixed
Building Batch Data Pipelines on GCP,Google Cloud,COURSE,4.5,Intermediate,7.3k,building batch data pipelines on gcp google cloud course intermediate
Building Conversational Experiences with Dialogflow,Google Cloud,COURSE,4.5,Beginner,22k,building conversational experiences with dialogflow google cloud course beginner
Building Resilient Streaming Analytics Systems on GCP,Google Cloud,COURSE,4.6,Intermediate,5.8k,building resilient streaming analytics systems on gcp google cloud course intermediate
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,COURSE,4.3,Intermediate,24k,building scalable java microservices with spring boot and spring cloud google cloud course intermediate
Building Your Leadership Skills,HEC Paris,COURSE,4.5,Mixed,67k,building your leadership skills hec paris course mixed
Business Analytics,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,280k,business analytics university of pennsylvania specialization beginner
Business English,Arizona State University,SPECIALIZATION,4.7,Intermediate,38k,business english arizona state university specialization intermediate
Business English Communication Skills,University of Washington,SPECIALIZATION,4.7,Intermediate,120k,business english communication skills university of washington specialization intermediate
Business English: Networking,University of Washington,COURSE,4.7,Intermediate,77k,business english networking university of washington course intermediate
Business Foundations,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,510k,business foundations university of pennsylvania specialization beginner
Business Model Innovation,HEC Paris,COURSE,4.7,Mixed,13k,business model innovation hec paris course mixed
Business Statistics and Analysis,Rice University,SPECIALIZATION,4.7,Beginner,110k,business statistics and analysis rice university specialization beginner
Business Strategies for A Better World,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,24k,business strategies for a better world university of pennsylvania specialization beginner
Business Strategy,University of Virginia,SPECIALIZATION,4.7,Beginner,89k,business strategy university of virginia specialization beginner
Business Technology Management,Indian School of Business,SPECIALIZATION,4.5,Beginner,67k,business technology management indian school of business specialization beginner
Business Transformation with Google Cloud,Google Cloud,COURSE,4.7,Beginner,10k,business transformation with google cloud google cloud course beginner
Business Writing,University of Colorado Boulder,COURSE,4.8,Beginner,48k,business writing university of colorado boulder course beginner
Business and Financial Modeling,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,160k,business and financial modeling university of pennsylvania specialization beginner
C for Everyone: Programming Fundamentals,"University of California, Santa Cruz",COURSE,4.5,Beginner,31k,c for everyone programming fundamentals university of california santa cruz course beginner
C# Programming for Unity Game Development,University of Colorado System,SPECIALIZATION,4.7,Beginner,36k,c programming for unity game development university of colorado system specialization beginner
COVID-19 Contact Tracing,Johns Hopkins University,COURSE,4.9,Beginner,220k,covid 19 contact tracing johns hopkins university course beginner
COVID-19: What You Need to Know (CME Eligible),Osmosis,COURSE,4.8,Beginner,32k,covid 19 what you need to know cme eligible osmosis course beginner
"Cameras, Exposure, and Photography",Michigan State University,COURSE,4.7,Mixed,130k,cameras exposure and photography michigan state university course mixed
Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,COURSE,4.7,Beginner,340k,camino a la excelencia en gestión de proyectos pontificia universidad católica de chile course beginner
"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,COURSE,4.6,Mixed,82k,capstone retrieving processing and visualizing data with python university of michigan course mixed
Career Success,"University of California, Irvine",SPECIALIZATION,4.4,Beginner,790k,career success university of california irvine specialization beginner
Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,COURSE,4.8,Beginner,31k,challenging forensic science how science should speak to court university of lausanne course beginner
Chemicals and Health,Johns Hopkins University,COURSE,4.7,Beginner,23k,chemicals and health johns hopkins university course beginner
Chicken Behaviour and Welfare,The University of Edinburgh,COURSE,4.7,Mixed,19k,chicken behaviour and welfare the university of edinburgh course mixed
Child Nutrition and Cooking,Stanford University,COURSE,4.7,Beginner,30k,child nutrition and cooking stanford university course beginner
Chinese for HSK 1,Peking University,COURSE,4.8,Beginner,22k,chinese for hsk 1 peking university course beginner
Cisco Networking Basics,Cisco,SPECIALIZATION,4.7,Beginner,57k,cisco networking basics cisco specialization beginner
Classical Sociological Theory,University of Amsterdam,COURSE,4.8,Mixed,51k,classical sociological theory university of amsterdam course mixed
Claves de la Dirección de Empresas,IESE Business School,SPECIALIZATION,4.8,Beginner,51k,claves de la dirección de empresas iese business school specialization beginner
Climate Change and Health: From Science to Action,Yale University,SPECIALIZATION,4.6,Beginner,4.8k,climate change and health from science to action yale university specialization beginner
Clinical Terminology for International and U.S. Students,University of Pittsburgh,COURSE,4.8,Beginner,32k,clinical terminology for international and u s students university of pittsburgh course beginner
Cloud Computing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,110k,cloud computing university of illinois at urbana champaign specialization intermediate
Cloud Computing Basics (Cloud 101),LearnQuest,COURSE,4.5,Beginner,37k,cloud computing basics cloud 101 learnquest course beginner
Cloud Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,Intermediate,310k,cloud engineering with google cloud google cloud professional certificate intermediate
Coaching Skills for Managers,"University of California, Davis",SPECIALIZATION,4.7,Intermediate,37k,coaching skills for managers university of california davis specialization intermediate
Code Yourself! An Introduction to Programming,The University of Edinburgh,COURSE,4.7,Beginner,120k,code yourself an introduction to programming the university of edinburgh course beginner
Communication Skills for Engineers,Rice University,SPECIALIZATION,4.7,Beginner,15k,communication skills for engineers rice university specialization beginner
Communication Strategies for a Virtual Age,University of Toronto,COURSE,4.8,Beginner,43k,communication strategies for a virtual age university of toronto course beginner
Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,University of Colorado Boulder,COURSE,4.9,Beginner,6.4k,compassionate leadership through service learning with jane goodall and roots shoots university of colorado boulder course beginner
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,COURSE,4.7,Beginner,43k,competencias digitales herramientas de ofimática microsoft word excel power point universitat autònoma de barcelona course beginner
Competitive Strategy and Organization Design,Ludwig-Maximilians-Universität München (LMU),SPECIALIZATION,4.7,Intermediate,350k,competitive strategy and organization design ludwig maximilians universität münchen lmu specialization intermediate
Computational Social Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,5.8k,computational social science university of california davis specialization beginner
Computational Thinking for Problem Solving,University of Pennsylvania,COURSE,4.8,Beginner,33k,computational thinking for problem solving university of pennsylvania course beginner
Computer Security and Systems Management,University of Colorado System,SPECIALIZATION,4.6,Beginner,27k,computer security and systems management university of colorado system specialization beginner
Conflict Management,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,66k,conflict management university of california irvine specialization beginner
Construction Cost Estimating and Cost Control,Columbia University,COURSE,4.7,Beginner,19k,construction cost estimating and cost control columbia university course beginner
Construction Management,Columbia University,SPECIALIZATION,4.7,Beginner,61k,construction management columbia university specialization beginner
Construction Project Management,Columbia University,COURSE,4.8,Beginner,43k,construction project management columbia university course beginner
Construction Scheduling,Columbia University,COURSE,4.8,Beginner,15k,construction scheduling columbia university course beginner
Contabilidad para no contadores,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,220k,contabilidad para no contadores universidad nacional autónoma de méxico course beginner
Content Strategy for Professionals,Northwestern University,SPECIALIZATION,4.5,Beginner,27k,content strategy for professionals northwestern university specialization beginner
Continuous Delivery & DevOps,University of Virginia,COURSE,4.6,Beginner,26k,continuous delivery devops university of virginia course beginner
Control of Mobile Robots,Georgia Institute of Technology,COURSE,4.8,Mixed,49k,control of mobile robots georgia institute of technology course mixed
Convolutional Neural Networks,deeplearning.ai,COURSE,4.9,Intermediate,240k,convolutional neural networks deeplearning ai course intermediate
Convolutional Neural Networks in TensorFlow,deeplearning.ai,COURSE,4.7,Intermediate,46k,convolutional neural networks in tensorflow deeplearning ai course intermediate
Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,COURSE,4.8,Intermediate,10k,corporate commercial law i contracts employment law university of illinois at urbana champaign course intermediate
Corporate Finance Essentials,IESE Business School,COURSE,4.8,Mixed,56k,corporate finance essentials iese business school course mixed
Corporate Strategy,UCL School of Management,COURSE,4.8,Beginner,7.8k,corporate strategy ucl school of management course beginner
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,COURSE,4.6,Mixed,10k,corporate sustainability understanding and seizing the strategic opportunity università bocconi course mixed
"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,COURSE,4.6,Beginner,75k,corrección estilo y variaciones de la lengua española universitat autònoma de barcelona course beginner
Cost and Economics in Pricing Strategy,University of Virginia,COURSE,4.8,Beginner,15k,cost and economics in pricing strategy university of virginia course beginner
Costos para los Negocios,Universidad de Chile,COURSE,4.8,Intermediate,43k,costos para los negocios universidad de chile course intermediate
Crash Course on Python,Google,COURSE,4.8,Beginner,81k,crash course on python google course beginner
Creative Problem Solving,University of Minnesota,COURSE,4.3,Mixed,140k,creative problem solving university of minnesota course mixed
Creative Writing,Wesleyan University,SPECIALIZATION,4.6,Beginner,140k,creative writing wesleyan university specialization beginner
Creative Writing: The Craft of Plot,Wesleyan University,COURSE,4.7,Mixed,120k,creative writing the craft of plot wesleyan university course mixed
"Creatividad, diseño e innovación: Técnicas y herramientas",Arizona State University,SPECIALIZATION,4.7,Beginner,150k,creatividad diseño e innovación técnicas y herramientas arizona state university specialization beginner
Cuidado de heridas en el ámbito hospitalario,Universidad Nacional Autónoma de México,COURSE,4.8,Intermediate,26k,cuidado de heridas en el ámbito hospitalario universidad nacional autónoma de méxico course intermediate
Cuidados y procedimientos generales en la atención del recién nacido,Universidad de Chile,COURSE,4.8,Intermediate,22k,cuidados y procedimientos generales en la atención del recién nacido universidad de chile course intermediate
Culture-Driven Team Building,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,17k,culture driven team building university of pennsylvania specialization beginner
Curanderismo: Traditional Healing Using Plants,University of New Mexico,COURSE,4.6,Beginner,5.5k,curanderismo traditional healing using plants university of new mexico course beginner
Customer Segmentation and Prospecting,Northwestern University,COURSE,4.7,Beginner,18k,customer segmentation and prospecting northwestern university course beginner
Cybersecurity,"University of Maryland, College Park",SPECIALIZATION,4.5,Intermediate,99k,cybersecurity university of maryland college park specialization intermediate
Cybersecurity and Its Ten Domains,University System of Georgia,COURSE,4.2,Beginner,140k,cybersecurity and its ten domains university system of georgia course beginner
Cybersecurity for Business,University of Colorado System,SPECIALIZATION,4.6,Beginner,23k,cybersecurity for business university of colorado system specialization beginner
Cómo hablar bien en público,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,55k,cómo hablar bien en público universitat autònoma de barcelona course beginner
Dairy Production and Management,The Pennsylvania State University,COURSE,4.8,Mixed,23k,dairy production and management the pennsylvania state university course mixed
Data Analysis and Interpretation,Wesleyan University,SPECIALIZATION,4.4,Beginner,100k,data analysis and interpretation wesleyan university specialization beginner
Data Analysis and Presentation Skills: the PwC Approach,PwC,SPECIALIZATION,4.6,Beginner,220k,data analysis and presentation skills the pwc approach pwc specialization beginner
Data Analysis with Python,IBM,COURSE,4.7,Beginner,110k,data analysis with python ibm course beginner
Data Analytics for Lean Six Sigma,University of Amsterdam,COURSE,4.8,Beginner,24k,data analytics for lean six sigma university of amsterdam course beginner
Data Collection and Processing with Python,University of Michigan,COURSE,4.7,Intermediate,19k,data collection and processing with python university of michigan course intermediate
Data Engineering on Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.4,Intermediate,3k,data engineering on google cloud platform 日本語版 google cloud specialization intermediate
Data Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.6,Intermediate,120k,data engineering with google cloud google cloud professional certificate intermediate
"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,SPECIALIZATION,4.6,Intermediate,120k,data engineering big data and machine learning on gcp google cloud specialization intermediate
Data Management for Clinical Research,Vanderbilt University,COURSE,4.7,Beginner,42k,data management for clinical research vanderbilt university course beginner
Data Mining,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,140k,data mining university of illinois at urbana champaign specialization intermediate
Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,830k,data science johns hopkins university specialization beginner
Data Science Math Skills,Duke University,COURSE,4.5,Beginner,140k,data science math skills duke university course beginner
Data Science Methodology,IBM,COURSE,4.6,Beginner,89k,data science methodology ibm course beginner
Data Science: Foundations using R,Johns Hopkins University,SPECIALIZATION,4.6,Beginner,740k,data science foundations using r johns hopkins university specialization beginner
Data Science: Statistics and Machine Learning,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,210k,data science statistics and machine learning johns hopkins university specialization intermediate
Data Visualization and Communication with Tableau,Duke University,COURSE,4.7,Mixed,130k,data visualization and communication with tableau duke university course mixed
Data Visualization with Advanced Excel,PwC,COURSE,4.8,Beginner,60k,data visualization with advanced excel pwc course beginner
Data Visualization with Python,IBM,COURSE,4.6,Intermediate,66k,data visualization with python ibm course intermediate
Data Visualization with Tableau,"University of California, Davis",SPECIALIZATION,4.5,Beginner,96k,data visualization with tableau university of california davis specialization beginner
Data Warehousing for Business Intelligence,University of Colorado System,SPECIALIZATION,4.5,Advanced,140k,data warehousing for business intelligence university of colorado system specialization advanced
Data and Health Indicators in Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,18k,data and health indicators in public health practice johns hopkins university course beginner
Data-driven Decision Making,PwC,COURSE,4.6,Beginner,120k,data driven decision making pwc course beginner
Databases and SQL for Data Science,IBM,COURSE,4.7,Beginner,110k,databases and sql for data science ibm course beginner
De-Mystifying Mindfulness,Universiteit Leiden,COURSE,4.8,Beginner,150k,de mystifying mindfulness universiteit leiden course beginner
